Device: cuda
AMP: on, bfloat16
Train examples: 18,000; valid examples: 500
Source vocab: 4,404; target vocab: 9,886
Epoch 1: train_loss=8.3635, valid_loss=7.1584, valid_acc=0.1300, time=2.1s
Epoch 2: train_loss=6.2488, valid_loss=5.6306, valid_acc=0.2980, time=1.8s
Epoch 3: train_loss=5.4970, valid_loss=5.3012, valid_acc=0.3497, time=1.9s
Epoch 4: train_loss=5.1843, valid_loss=5.0348, valid_acc=0.3950, time=1.9s
Epoch 5: train_loss=4.9140, valid_loss=4.7879, valid_acc=0.4204, time=1.9s
Epoch 6: train_loss=4.6743, valid_loss=4.5887, valid_acc=0.4441, time=1.9s
Epoch 7: train_loss=4.4391, valid_loss=4.4024, valid_acc=0.4683, time=1.9s
Epoch 8: train_loss=4.2233, valid_loss=4.2484, valid_acc=0.4886, time=1.9s
Epoch 9: train_loss=4.0359, valid_loss=4.1133, valid_acc=0.5070, time=2.0s
Epoch 10: train_loss=3.8704, valid_loss=4.0187, valid_acc=0.5216, time=1.9s
Epoch 11: train_loss=3.7206, valid_loss=3.9170, valid_acc=0.5439, time=1.9s
Epoch 12: train_loss=3.5894, valid_loss=3.8636, valid_acc=0.5458, time=1.9s
Epoch 13: train_loss=3.4721, valid_loss=3.7853, valid_acc=0.5608, time=1.9s
Epoch 14: train_loss=3.3616, valid_loss=3.7423, valid_acc=0.5702, time=1.9s
Epoch 15: train_loss=3.2619, valid_loss=3.7225, valid_acc=0.5707, time=1.8s
Epoch 16: train_loss=3.1442, valid_loss=3.6589, valid_acc=0.5796, time=1.8s
Epoch 17: train_loss=3.0459, valid_loss=3.6707, valid_acc=0.5832, time=1.8s
Epoch 18: train_loss=2.9540, valid_loss=3.6223, valid_acc=0.5946, time=1.8s
Epoch 19: train_loss=2.8705, valid_loss=3.6229, valid_acc=0.6024, time=1.8s
Epoch 20: train_loss=2.7948, valid_loss=3.6009, valid_acc=0.6009, time=1.8s
Epoch 21: train_loss=2.7316, valid_loss=3.5756, valid_acc=0.6066, time=1.8s
Epoch 22: train_loss=2.6657, valid_loss=3.6179, valid_acc=0.6066, time=1.8s
Epoch 23: train_loss=2.6169, valid_loss=3.5986, valid_acc=0.6095, time=1.8s
Epoch 24: train_loss=2.5612, valid_loss=3.6144, valid_acc=0.6162, time=1.8s
Epoch 25: train_loss=2.5136, valid_loss=3.6279, valid_acc=0.6136, time=1.8s
